-0.422563;13.1874;0.317295
18.7774;-19.2126;-3.28271
6.77744;15.5874;-2.08271
0.777437;13.1874;19.5173
3.17744;-7.21258;1.51729
-1.62256;-2.41258;-5.68271
3.17744;-24.0126;6.31729
10.3774;-4.81258;11.1173
16.3774;5.98742;-20.0827
-4.02256;-4.81258;-2.08271
7.97744;-2.41258;3.91729
12.7774;13.1874;5.11729
-29.2226;-10.8126;3.91729
-5.22256;-3.61258;13.5173
-1.62256;-0.0125809;-16.4827
-7.62256;-9.61258;8.71729
-1.62256;8.38742;19.5173
-0.422563;5.98742;2.71729
4.37744;4.78742;-8.08271
10.3774;4.78742;3.91729
